index,label,test_support,correct,per_class_accuracy,independent_real_tested
456,meganium,4,2,0.5,True
457,meloetta-aria,4,4,1.0,True
458,meloetta-pirouette,4,4,1.0,True
459,meowscarada,4,3,0.75,True
460,meowstic-male,4,4,1.0,True
461,meowth,4,4,1.0,True
462,meowth-alola,4,4,1.0,True
463,meowth-galar,4,3,0.75,True
464,mesprit,4,4,1.0,True
465,metapod,4,4,1.0,True
466,mew,4,3,0.75,True
467,mewtwo,4,0,0.0,True
468,mienfoo,4,4,1.0,True
469,mienshao,4,3,0.75,True
470,mightyena,4,4,1.0,True
471,milcery,4,4,1.0,True
472,milotic,4,4,1.0,True
473,miltank,4,4,1.0,True
474,mime-jr,4,3,0.75,True
475,mimikyu-disguised,4,4,1.0,True
476,minccino,4,4,1.0,True
477,minun,4,3,0.75,True
478,miraidon,4,4,1.0,True
479,miraidon-drive-mode,0,0,,False
480,miraidon-glide-mode,0,0,,False
481,mismagius,4,4,1.0,True
482,missingno,0,0,,False
483,moltres-galar,4,4,1.0,True
484,morelull,4,4,1.0,True
485,morgrem,4,4,1.0,True
486,morpeko-full-belly,4,3,0.75,True
487,morpeko-hangry,4,4,1.0,True
488,mothim,4,4,1.0,True
489,mr-mime,4,4,1.0,True
490,mr-mime-galar,4,4,1.0,True
491,mr-rime,4,4,1.0,True
492,mudbray,4,4,1.0,True
493,mudkip,4,3,0.75,True
494,mudsdale,4,3,0.75,True
495,muk-alola,4,4,1.0,True
496,munchlax,4,4,1.0,True
497,munkidori,4,4,1.0,True
498,munna,4,3,0.75,True
499,murkrow,4,4,1.0,True
500,musharna,4,4,1.0,True
501,nacli,4,4,1.0,True
502,naclstack,4,4,1.0,True
503,natu,4,4,1.0,True
504,nickit,4,4,1.0,True
505,nidoking,4,4,1.0,True
506,nidoqueen,4,4,1.0,True
507,nidoran-f,4,4,1.0,True
508,nidoran-m,4,4,1.0,True
509,nidorina,4,3,0.75,True
510,nidorino,4,3,0.75,True
511,ninetales,4,4,1.0,True
512,ninetales-alola,4,3,0.75,True
513,ninjask,4,4,1.0,True
514,noctowl,4,4,1.0,True
515,nosepass,4,4,1.0,True
516,numel,4,3,0.75,True
517,nuzleaf,4,4,1.0,True
518,nymble,4,4,1.0,True
519,obstagoon,4,4,1.0,True
520,octillery,4,4,1.0,True
521,oddish,4,4,1.0,True
522,ogerpon,4,4,1.0,True
523,ogerpon-cornerstone-mask,4,4,1.0,True
524,ogerpon-hearthflame-mask,4,4,1.0,True
525,ogerpon-wellspring-mask,4,4,1.0,True
526,oinkologne,4,4,1.0,True
527,okidogi,4,4,1.0,True
528,omanyte,4,4,1.0,True
529,omastar,4,4,1.0,True
530,oranguru,4,4,1.0,True
531,orbeetle,4,4,1.0,True
532,oricorio-baile,4,4,1.0,True
533,oricorio-pau,4,4,1.0,True
534,oricorio-pom-pom,4,4,1.0,True
535,oricorio-sensu,4,0,0.0,True
536,orthworm,4,4,1.0,True
537,oshawott,4,4,1.0,True
538,overqwil,4,4,1.0,True
539,pachirisu,4,4,1.0,True
540,palafin,4,0,0.0,True
541,palafin-hero,4,4,1.0,True
542,palossand,4,4,1.0,True
543,palpitoad,4,4,1.0,True
544,pancham,4,4,1.0,True
545,pangoro,4,4,1.0,True
546,panpour,4,3,0.75,True
547,pansage,4,4,1.0,True
548,pansear,4,3,0.75,True
549,passimian,4,4,1.0,True
550,patrat,4,4,1.0,True
551,pawmi,4,4,1.0,True
552,pawmo,4,4,1.0,True
553,pawmot,4,3,0.75,True
554,pecharunt,4,4,1.0,True
555,perrserker,4,4,1.0,True
556,persian,4,4,1.0,True
557,persian-alola,4,4,1.0,True
558,petilil,4,4,1.0,True
559,phanpy,4,4,1.0,True
560,pichu,4,4,1.0,True
561,pichu-spiky-eared,0,0,,False
562,pidgey,4,4,1.0,True
563,pidove,4,4,1.0,True
564,pignite,4,2,0.5,True
565,pikachu,4,3,0.75,True
566,pikachu-starter,4,4,1.0,True
567,pikipek,4,4,1.0,True
568,piloswine,4,4,1.0,True
569,pincurchin,4,4,1.0,True
570,pineco,4,4,1.0,True
571,piplup,4,4,1.0,True
572,plusle,4,4,1.0,True
573,politoed,4,4,1.0,True
574,poliwag,4,4,1.0,True
575,poliwhirl,4,3,0.75,True
576,poliwrath,4,4,1.0,True
577,poltchageist,4,4,1.0,True
578,polteageist,4,4,1.0,True
579,ponyta,4,4,1.0,True
580,ponyta-galar,4,4,1.0,True
581,poochyena,4,4,1.0,True
582,porygon,4,4,1.0,True
583,porygon2,4,4,1.0,True
584,primarina,4,0,0.0,True
585,prinplup,4,3,0.75,True
586,psyduck,4,4,1.0,True
587,pupitar,4,4,1.0,True
588,purrloin,4,4,1.0,True
589,purugly,4,4,1.0,True
590,pyroar,4,4,1.0,True
591,quaquaval,4,4,1.0,True
592,quaxly,4,4,1.0,True
593,quaxwell,4,4,1.0,True
594,quilava,4,4,1.0,True
595,quilladin,4,4,1.0,True
596,raboot,4,4,1.0,True
597,rabsca,4,3,0.75,True
598,raging-bolt,4,4,1.0,True
599,raichu,4,4,1.0,True
600,raichu-alola,4,3,0.75,True
601,raikou,4,4,1.0,True
602,ralts,4,4,1.0,True
603,rampardos,4,4,1.0,True
604,rapidash,4,3,0.75,True
605,rapidash-galar,4,3,0.75,True
606,raticate,4,4,1.0,True
607,raticate-alola,4,4,1.0,True
608,rattata,4,1,0.25,True
609,rattata-alola,4,4,1.0,True
610,rayquaza,4,4,1.0,True
611,regidrago,4,4,1.0,True
612,regieleki,4,4,1.0,True
613,rellor,4,3,0.75,True
614,reuniclus,4,4,1.0,True
615,revavroom,4,4,1.0,True
616,ribombee,4,4,1.0,True
